
# Curve 0 of 1, 2000 points
# Curve title: "'gr_OO_exp_skinner2013_new.dat' u 4:($5*0.5*(tanh(30.0*($4-2.45))+1))"
# x y type
 4.49  1.11671  o
 4.5  1.1168  o
 4.51  1.11683  o
 4.52  1.11678  o
 4.53  1.11667  o
 4.54  1.1165  o
 4.55  1.11625  o
 4.56  1.11594  o
 4.57  1.11556  o
 4.58  1.11511  o
 4.59  1.11459  o
 4.6  1.11399  o
 4.61  1.1133  o
 4.62  1.11254  o
 4.63  1.11168  o
 4.64  1.11072  o
 4.65  1.10967  o
 4.66  1.10851  o
 4.67  1.10724  o
 4.68  1.10585  o
 4.69  1.10435  o
 4.7  1.10273  o
 4.71  1.10098  o
 4.72  1.0991  o
 4.73  1.0971  o
 4.74  1.09496  o
 4.75  1.0927  o
 4.76  1.09032  o
 4.77  1.08781  o
 4.78  1.08518  o
 4.79  1.08244  o
 4.8  1.0796  o
 4.81  1.07665  o
 4.82  1.07362  o
 4.83  1.07051  o
 4.84  1.06732  o
 4.85  1.06408  o
 4.86  1.06079  o
 4.87  1.05746  o
 4.88  1.05411  o
 4.89  1.05073  o
 4.9  1.04736  o
 4.91  1.04398  o
 4.92  1.04062  o
 4.93  1.03728  o
 4.94  1.03396  o
 4.95  1.03067  o
 4.96  1.02741  o
 4.97  1.02418  o
 4.98  1.02099  o
 4.99  1.01782  o
 5  1.01469  o
 5.01  1.01157  o
 5.02  1.00848  o
 5.03  1.00541  o
 5.04  1.00234  o
 5.05  0.999269  o
 5.06  0.996198  o
 5.07  0.993116  o
 5.08  0.990019  o
 5.09  0.986902  o
 5.1  0.983762  o
 5.11  0.980595  o
 5.12  0.9774  o
 5.13  0.974178  o
 5.14  0.970929  o
 5.15  0.967656  o
 5.16  0.964362  o
 5.17  0.961054  o
 5.18  0.957737  o
 5.19  0.954419  o
 5.2  0.951106  o
 5.21  0.947808  o
 5.22  0.944534  o
 5.23  0.941291  o
 5.24  0.938089  o
 5.25  0.934936  o
 5.26  0.931841  o
 5.27  0.928811  o
 5.28  0.925852  o
 5.29  0.92297  o
 5.3  0.92017  o
 5.31  0.917458  o
 5.32  0.914835  o
 5.33  0.912304  o
 5.34  0.909868  o
 5.35  0.907527  o
 5.36  0.905282  o
 5.37  0.903134  o
 5.38  0.901082  o
 5.39  0.899126  o
 5.4  0.897266  o
 5.41  0.895502  o
 5.42  0.893835  o
 5.43  0.892264  o
 5.44  0.89079  o
 5.45  0.889414  o
 5.46  0.888137  o
 5.47  0.88696  o
 5.48  0.885885  o
 5.49  0.884913  o
 5.5  0.884045  o
 5.51  0.883284  o
 5.52  0.882629  o
 5.53  0.882082  o
 5.54  0.881643  o
 5.55  0.881311  o
 5.56  0.881086  o
 5.57  0.880966  o
 5.58  0.88095  o
 5.59  0.881033  o
 5.6  0.881215  o
 5.61  0.88149  o
 5.62  0.881855  o
 5.63  0.882306  o
 5.64  0.882838  o
 5.65  0.883447  o
 5.66  0.88413  o
 5.67  0.884881  o
 5.68  0.885699  o
 5.69  0.88658  o
 5.7  0.887522  o
 5.71  0.888523  o
 5.72  0.889583  o
 5.73  0.890702  o
 5.74  0.891879  o
 5.75  0.893116  o
 5.76  0.894415  o
 5.77  0.895777  o
 5.78  0.897205  o
 5.79  0.8987  o
 5.8  0.900264  o
 5.81  0.901899  o
 5.82  0.903607  o
 5.83  0.905386  o
 5.84  0.907238  o
 5.85  0.909162  o
 5.86  0.911154  o
 5.87  0.913213  o
 5.88  0.915334  o
 5.89  0.917514  o
 5.9  0.919746  o
 5.91  0.922026  o
 5.92  0.924346  o
 5.93  0.9267  o
 5.94  0.929082  o
 5.95  0.931484  o
 5.96  0.933902  o
 5.97  0.93633  o
 5.98  0.938762  o
 5.99  0.941196  o
 6  0.943627  o
 6.01  0.946055  o
 6.02  0.948479  o
 6.03  0.9509  o
 6.04  0.953318  o
 6.05  0.955737  o
 6.06  0.958159  o
 6.07  0.960587  o
 6.08  0.963027  o
 6.09  0.965482  o
 6.1  0.967955  o
 6.11  0.97045  o
 6.12  0.97297  o
 6.13  0.975517  o
 6.14  0.97809  o
 6.15  0.980689  o
 6.16  0.983311  o
 6.17  0.985954  o
 6.18  0.988611  o
 6.19  0.991277  o
 6.2  0.993942  o
 6.21  0.996599  o
 6.22  0.999237  o
 6.23  1.00185  o
 6.24  1.00441  o
 6.25  1.00693  o
 6.26  1.00939  o
 6.27  1.01177  o
 6.28  1.01408  o
 6.29  1.0163  o
 6.3  1.01842  o
 6.31  1.02046  o
 6.32  1.02239  o
 6.33  1.02422  o
 6.34  1.02596  o
 6.35  1.02761  o
 6.36  1.02917  o
 6.37  1.03066  o
 6.38  1.03207  o
 6.39  1.03343  o
 6.4  1.03474  o
 6.41  1.03601  o
 6.42  1.03726  o
 6.43  1.03849  o
 6.44  1.03972  o
 6.45  1.04095  o
 6.46  1.04218  o
 6.47  1.04343  o
 6.48  1.0447  o
 6.49  1.04599  o
 6.5  1.04729  o
 6.51  1.04861  o
 6.52  1.04993  o
 6.53  1.05125  o
 6.54  1.05256  o
 6.55  1.05385  o
 6.56  1.05511  o
 6.57  1.05633  o
 6.58  1.05749  o
 6.59  1.05858  o
 6.6  1.05959  o
 6.61  1.06051  o
 6.62  1.06133  o
 6.63  1.06205  o
 6.64  1.06266  o
 6.65  1.06316  o
 6.66  1.06355  o
 6.67  1.06383  o
 6.68  1.064  o
 6.69  1.06407  o
 6.7  1.06405  o
 6.71  1.06395  o
 6.72  1.06377  o
 6.73  1.06354  o
 6.74  1.06326  o
 6.75  1.06293  o
 6.76  1.06259  o
 6.77  1.06223  o
 6.78  1.06187  o
 6.79  1.06151  o
 6.8  1.06116  o
 6.81  1.06083  o
 6.82  1.06052  o
 6.83  1.06023  o
 6.84  1.05996  o
 6.85  1.0597  o
 6.86  1.05946  o
 6.87  1.05923  o
 6.88  1.05899  o
 6.89  1.05875  o
 6.9  1.05848  o
 6.91  1.0582  o
 6.92  1.05787  o
 6.93  1.05751  o
 6.94  1.05709  o
 6.95  1.05662  o
 6.96  1.05608  o
 6.97  1.05547  o
 6.98  1.0548  o
 6.99  1.05405  o
 7  1.05324  o
 7.01  1.05235  o
 7.02  1.0514  o
 7.03  1.0504  o
 7.04  1.04933  o
 7.05  1.04822  o
 7.06  1.04707  o
 7.07  1.04589  o
 7.08  1.04468  o
 7.09  1.04345  o
 7.1  1.04221  o
 7.11  1.04097  o
 7.12  1.03972  o
 7.13  1.03849  o
 7.14  1.03726  o
 7.15  1.03604  o
 7.16  1.03484  o
 7.17  1.03366  o
 7.18  1.03249  o
 7.19  1.03133  o
 7.2  1.03018  o
 7.21  1.02905  o
 7.22  1.02792  o
 7.23  1.0268  o
 7.24  1.02568  o
 7.25  1.02456  o
 7.26  1.02344  o
 7.27  1.02231  o
 7.28  1.02117  o
 7.29  1.02003  o
 7.3  1.01887  o
 7.31  1.01771  o
 7.32  1.01655  o
 7.33  1.01537  o
 7.34  1.01419  o
 7.35  1.013  o
 7.36  1.01181  o
 7.37  1.01063  o
 7.38  1.00945  o
 7.39  1.00827  o
 7.4  1.00711  o
 7.41  1.00596  o
 7.42  1.00482  o
 7.43  1.00371  o
 7.44  1.00261  o
 7.45  1.00154  o
 7.46  1.00049  o
 7.47  0.999475  o
 7.48  0.998483  o
 7.49  0.997519  o
 7.5  0.996584  o
 7.51  0.99568  o
 7.52  0.994805  o
 7.53  0.993961  o
 7.54  0.993146  o
 7.55  0.992361  o
 7.56  0.991606  o
 7.57  0.990879  o
 7.58  0.99018  o
 7.59  0.989509  o
 7.6  0.988865  o
 7.61  0.988247  o
 7.62  0.987654  o
 7.63  0.987086  o
 7.64  0.986541  o
 7.65  0.986019  o
 7.66  0.985518  o
 7.67  0.985038  o
 7.68  0.984576  o
 7.69  0.984133  o
 7.7  0.983708  o
 7.71  0.983298  o
 7.72  0.982904  o
 7.73  0.982523  o
 7.74  0.982156  o
 7.75  0.981802  o
 7.76  0.98146  o
 7.77  0.98113  o
 7.78  0.980811  o
 7.79  0.980503  o
 7.8  0.980208  o
 7.81  0.979924  o
 7.82  0.979653  o
 7.83  0.979395  o
 7.84  0.97915  o
 7.85  0.978921  o
 7.86  0.978708  o
 7.87  0.978511  o
 7.88  0.978333  o
 7.89  0.978174  o
 7.9  0.978035  o
 7.91  0.977917  o
 7.92  0.977821  o
 7.93  0.977748  o
 7.94  0.977698  o
 7.95  0.977672  o
 7.96  0.97767  o
 7.97  0.977692  o
 7.98  0.977738  o
 7.99  0.977808  o
 8  0.977901  o
 8.01  0.978017  o
 8.02  0.978155  o
 8.03  0.978314  o
 8.04  0.978493  o
 8.05  0.978691  o
 8.06  0.978908  o
 8.07  0.979141  o
 8.08  0.979391  o
 8.09  0.979655  o
 8.1  0.979932  o
 8.11  0.980223  o
 8.12  0.980525  o
 8.13  0.980837  o
 8.14  0.981159  o
 8.15  0.981489  o
 8.16  0.981827  o
 8.17  0.982172  o
 8.18  0.982522  o
 8.19  0.982878  o
 8.2  0.983239  o
 8.21  0.983603  o
 8.22  0.98397  o
 8.23  0.984339  o
 8.24  0.98471  o
 8.25  0.985083  o
 8.26  0.985456  o
 8.27  0.985829  o
 8.28  0.986202  o
 8.29  0.986574  o
 8.3  0.986944  o
 8.31  0.987313  o
 8.32  0.987681  o
 8.33  0.988046  o
 8.34  0.98841  o
 8.35  0.988771  o
 8.36  0.98913  o
 8.37  0.989488  o
 8.38  0.989843  o
 8.39  0.990196  o
 8.4  0.990548  o
 8.41  0.990898  o
 8.42  0.991248  o
 8.43  0.991596  o
 8.44  0.991944  o
 8.45  0.992292  o
 8.46  0.992639  o
 8.47  0.992987  o
 8.48  0.993335  o
 8.49  0.993682  o
 8.5  0.994031  o
 8.51  0.994379  o
 8.52  0.994728  o
 8.53  0.995076  o
 8.54  0.995424  o
 8.55  0.995772  o
 8.56  0.996118  o
 8.57  0.996463  o
 8.58  0.996806  o
 8.59  0.997147  o
 8.6  0.997484  o
 8.61  0.997818  o
 8.62  0.998148  o
 8.63  0.998474  o
 8.64  0.998794  o
 8.65  0.999108  o
 8.66  0.999416  o
 8.67  0.999718  o
 8.68  1.00001  o
 8.69  1.0003  o
 8.7  1.00058  o
 8.71  1.00084  o
 8.72  1.0011  o
 8.73  1.00136  o
 8.74  1.0016  o
 8.75  1.00183  o
 8.76  1.00205  o
 8.77  1.00226  o
 8.78  1.00246  o
 8.79  1.00265  o
 8.8  1.00283  o
 8.81  1.003  o
 8.82  1.00315  o
 8.83  1.0033  o
 8.84  1.00343  o
 8.85  1.00355  o
 8.86  1.00367  o
 8.87  1.00377  o
 8.88  1.00385  o
 8.89  1.00393  o
 8.9  1.004  o
 8.91  1.00406  o
