#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
631.13; 238.39846; 67508.887406433
633.17; 235.67776; 67988.706993204
635.21; 234.00102; 68465.112883013
637.24; 233.02036; 68939.522225267
639.28; 232.30933; 69412.483962161
641.31; 231.52246; 69883.84370941
643.35; 230.51553; 70353.153428703
645.38; 229.38484; 70820.161161267
647.42; 228.41296; 71285.190232349
649.46; 227.94206; 71749.260586945
651.49; 228.22268; 72213.902258226
653.53; 229.29502; 72680.727128106
655.56; 230.94805; 73150.917428319
657.60; 232.77322; 73624.823617262
659.64; 234.29471; 74101.827425596
661.67; 235.12974; 74580.531286129
663.71; 235.12115; 75059.21764575
665.74; 234.3941; 75536.423813444
667.78; 233.31623; 76011.435517291
669.82; 232.37462; 76484.530195925
671.85; 232.01292; 76956.888473734
673.89; 232.48464; 77430.207142576
675.92; 233.77259; 77906.147962085
677.96; 235.59958; 78385.808383913
680.00; 237.52374; 78869.386221988
682.03; 239.08256; 79356.137689785
684.07; 239.93515; 79844.624953791
686.10; 239.95512; 80333.152863716
688.14; 239.24643; 80820.237954694
690.17; 238.08246; 81304.953305516
692.21; 236.79439; 81787.046254191
694.25; 235.65023; 82266.809776023
696.28; 234.76498; 82744.771013457
698.32; 234.06821; 83221.313692803
700.35; 233.33319; 83696.359936254
702.39; 232.25144; 84169.203831455
704.43; 230.5243; 84638.531417087
706.46; 227.94284; 85102.603363686
708.50; 224.43708; 85559.53788486
710.53; 220.08964; 86007.621403339
712.57; 215.12088; 86445.588942033
714.61; 209.85781; 86872.84133275
716.64; 204.69695; 87289.586666817
718.68; 200.06403; 87696.899768793
720.71; 196.36763; 88096.6873162
722.75; 193.94291; 88491.538348037
724.79; 192.98742; 88884.444081295
726.82; 193.5011; 89278.395631098
728.86; 195.25127; 89675.910366037
730.89; 197.78425; 90078.582029741
732.93; 200.49607; 90486.774727056
734.96; 202.75581; 90899.56805199
737.00; 204.05415; 91315.004696499
739.04; 204.13475; 91730.605430613
741.07; 203.06451; 92144.027241723
743.11; 201.21418; 92553.681940078
745.14; 199.14801; 92959.130107909
747.18; 197.45197; 93361.125287899
749.22; 196.55239; 93761.288994742
751.25; 196.58232; 94161.513626488
753.29; 197.33829; 94563.277344473
755.32; 198.34075; 94967.081987457
757.36; 198.97754; 95372.183079568
759.40; 198.68361; 95776.685770561
761.43; 197.10096; 96177.966311782
763.47; 194.17245; 96573.284665727
765.50; 190.14799; 96960.409565413
767.54; 185.51019; 97338.092311619
769.58; 180.85016; 97706.287630774
771.61; 176.73359; 98066.101964707
773.65; 173.59271; 98419.521735244
775.68; 171.6643; 98769.015444524
777.72; 170.97632; 99117.10847212
779.75; 171.37214; 99466.007363316
781.79; 172.55687; 99817.318265055
783.83; 174.15237; 100171.87745617
785.86; 175.75413; 100529.69770066
787.90; 176.98775; 100890.02948286
789.93; 177.56283; 101251.53208266
791.97; 177.31878; 101612.53782549
794.01; 176.25236; 101971.37241451
796.04; 174.51615; 102326.67223793
798.08; 172.38252; 102677.62817964
800.11; 170.17766; 103024.0952057
802.15; 168.20202; 103366.54000814
804.19; 166.6605; 103705.84641008
806.22; 165.62421; 104043.04299975
808.26; 165.03571; 104379.04146601
810.29; 164.75406; 104714.46650724
812.33; 164.62107; 105049.62080186
814.37; 164.52313; 105384.5756895
816.40; 164.42508; 105719.33095342
818.44; 164.36516; 106053.96423485
820.47; 164.41587; 106388.70075051
822.51; 164.62938; 106723.87196622
824.55; 164.99191; 107059.78124708
826.58; 165.40656; 107396.53472814
828.62; 165.71237; 107733.91081985
830.65; 165.73203; 108071.32692842
