#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
545.62; 185.17968; 89999.100948581
547.66; 185.40277; 90376.564990105
549.70; 185.51887; 90754.265404222
551.73; 185.31917; 91131.559239047
553.77; 184.68598; 91507.563961036
555.80; 183.62799; 91881.414701665
557.84; 182.2746; 92252.510052989
559.88; 180.83309; 92620.670625348
561.91; 179.52479; 92986.167602537
563.95; 178.52247; 93349.623944865
565.98; 177.90906; 93711.831426912
568.02; 177.66797; 94073.548078059
570.06; 177.70347; 94435.337002635
572.09; 177.87903; 94797.483348324
574.13; 178.05763; 95159.993322251
576.16; 178.13049; 95522.651631737
578.20; 178.02816; 95885.101609863
580.24; 177.71687; 96246.917824881
582.27; 177.18855; 96607.658414567
584.31; 176.45389; 96966.903300591
586.34; 175.54357; 97324.294866951
588.38; 174.51617; 97679.594733643
590.41; 173.46577; 98032.756080566
592.45; 172.52075; 98383.993434114
594.49; 171.82806; 98733.820537709
596.52; 171.52402; 99083.028644036
598.56; 171.699; 99432.592999501
600.59; 172.36769; 99783.518747839
602.63; 173.45562; 100136.65942025
604.67; 174.80753; 100492.55245964
606.70; 176.21554; 100851.31209818
608.74; 177.45837; 101212.60201848
610.77; 178.33948; 101575.68580768
612.81; 178.71389; 101939.53186553
614.85; 178.49831; 102302.93901754
616.88; 177.66641; 102664.65249588
618.92; 176.23616; 103023.45410263
620.95; 174.25774; 103378.2278162
622.99; 171.80819; 103728.0144641
625.03; 168.99356; 104072.07076211
627.06; 165.95391; 104409.93860324
629.10; 162.8636; 104741.51484368
631.13; 159.91989; 105067.09794022
633.17; 157.31768; 105387.3831617
635.21; 155.21448; 105703.38645523
637.24; 153.69518; 106016.29658477
639.28; 152.74837; 106327.27907924
641.31; 152.26363; 106637.27469255
643.35; 152.05309; 106946.84165209
645.38; 151.89246; 107256.0815919
647.42; 151.57061; 107564.66627311
649.46; 150.93336; 107871.95356444
651.49; 149.90955; 108177.15646725
653.53; 148.51321; 108479.51653833
655.56; 146.82357; 108778.43665736
657.60; 144.95161; 109073.54562246
659.64; 143.00504; 109364.69154849
661.67; 141.06287; 109651.88338153
663.71; 139.1655; 109935.21231976
665.74; 137.32005; 110214.78408473
667.78; 135.51489; 110490.68070722
669.82; 133.73468; 110762.95297296
671.85; 131.96863; 111031.62971577
673.89; 130.20895; 111296.72390828
675.92; 128.44167; 111558.22006237
677.96; 126.63604; 111816.04011853
680.00; 124.73982; 112069.99962875
682.03; 122.68502; 112319.77573595
684.07; 120.40433; 112564.90856254
686.10; 117.85328; 112804.84766002
688.14; 115.03009; 113039.03899669
690.17; 111.98564; 113267.03209344
692.21; 108.8188; 113488.57778746
694.25; 105.65802; 113703.68838942
696.28; 102.63441; 113912.64318249
698.32; 99.854791; 114115.93891963
700.35; 97.38231; 114314.20089922
702.39; 95.229392; 114508.07972346
704.43; 93.363252; 114698.15924619
706.46; 91.720134; 114884.89352378
708.50; 90.22253; 115068.57880793
710.53; 88.794034; 115249.35579751
712.57; 87.3689; 115427.23133795
714.61; 85.89624; 115602.10866934
716.64; 84.340916; 115773.81949449
718.68; 82.683618; 115942.15620436
720.71; 80.921486; 116106.90536635
722.75; 79.068803; 116267.88262628
724.79; 77.155941; 116424.96546401
726.82; 75.224717; 116578.11649593
728.86; 73.319756; 116727.3891909
730.89; 71.477641; 116872.91149892
732.93; 69.717425; 117014.85016001
734.96; 68.036407; 117153.36641261
737.00; 66.413559; 117288.57868719
739.04; 64.820126; 117420.54686976
741.07; 63.233825; 117549.28547971
743.11; 61.651222; 117674.80204727
745.14; 60.093105; 117797.146422
747.18; 58.600087; 117916.45114128
749.22; 57.219442; 118032.94498664
751.25; 55.987697; 118146.93110529
753.29; 54.915464; 118258.73424977
755.32; 53.980442; 118368.63377005
757.36; 53.131663; 118476.80525122
759.40; 52.30395; 118583.29157841
761.43; 51.43774; 118688.01437756
763.47; 50.497447; 118790.82282164
765.50; 49.481971; 118891.56384437
767.54; 48.423828; 118990.15057922
769.58; 47.377391; 119086.6068586
771.61; 46.400518; 119181.07430951
773.65; 45.535979; 119273.78163264
775.68; 44.79887; 119364.98826575
777.72; 44.173833; 119454.92237699
779.75; 43.62226; 119543.73353261
781.79; 43.096222; 119631.47372225
783.83; 42.553764; 119718.10951222
785.86; 41.970151; 119803.55711795
787.90; 41.341628; 119887.72510462
789.93; 40.681215; 119970.54854724
791.97; 40.009135; 120052.00369344
794.01; 39.34224; 120132.10109883
796.04; 38.686857; 120210.86420004
798.08; 38.037791; 120288.30585973
800.11; 37.383547; 120364.41553539
802.15; 36.71522; 120439.16455374
804.19; 36.035019; 120512.52874158
806.22; 35.360538; 120584.51974521
808.26; 34.722594; 120655.21194932
810.29; 34.157044; 120724.75274233
812.33; 33.693419; 120793.34963503
814.37; 33.344503; 120861.23616493
816.40; 33.100703; 120928.62633984
818.44; 32.931293; 120995.67161129
820.47; 32.792097; 121062.43349082
822.51; 32.636903; 121128.87940929
824.55; 32.428731; 121194.90150757
826.58; 32.14737; 121260.35077837
828.62; 31.791227; 121325.07497289
830.65; 31.373701; 121388.94912087
832.69; 30.916162; 121451.89175938
834.72; 30.44049; 121513.86597074
836.76; 29.963745; 121574.86957026
838.80; 29.496229; 121634.92134623
840.83; 29.042602; 121694.04957693
842.87; 28.60457; 121752.28601346
844.90; 28.183361; 121809.66490429
846.94; 27.780804; 121866.22422296
848.98; 27.398886; 121922.00599093
851.01; 27.038586; 121977.05421819
853.05; 26.699117; 122031.41131593
855.08; 26.378372; 122085.11540569
857.12; 26.07449; 122138.20081733
859.16; 25.787675; 122190.7022979
861.19; 25.521103; 122242.66106012
863.23; 25.280117; 122294.12919567
865.26; 25.069832; 122345.16921095
867.30; 24.89221; 122395.84760267
869.34; 24.744128; 122446.22451263
871.37; 24.617691; 122496.34400765
873.41; 24.503007; 122546.23001419
875.44; 24.39243; 122595.89089728
877.48; 24.284397; 122645.33183471
879.51; 24.18489; 122694.57018428
881.55; 24.105479; 122743.64685935
883.59; 24.058317; 122792.62751708
885.62; 24.049897; 122841.59103178
887.66; 24.076085; 122890.60786233
889.69; 24.120628; 122939.71537866
891.73; 24.158031; 122988.89904393
893.77; 24.159981; 123038.08667916
895.80; 24.10308; 123087.15847022
897.84; 23.97512; 123135.96974626
899.87; 23.777726; 123184.37914414
901.91; 23.524659; 123232.27331942
903.95; 23.236754; 123279.58134497
905.98; 22.935668; 123326.27638513
908.02; 22.63888; 123372.36719126
910.05; 22.357612; 123417.88535942
912.09; 22.097922; 123462.87482174
914.13; 21.863836; 123507.38770409
916.16; 21.660545; 123551.4867047
918.20; 21.495855; 123595.25040973
920.23; 21.378968; 123638.77614273
922.27; 21.317046; 123682.17580899
924.30; 21.311066; 123725.56329966
926.34; 21.352899; 123769.03595996
928.38; 21.42513; 123812.65567654
930.41; 21.50402; 123856.43600566
932.45; 21.564811; 123900.34009901
934.48; 21.587648; 123944.29068683
936.52; 21.562188; 123988.18944158
938.56; 21.489473; 124031.94015363
940.59; 21.380634; 124075.46928018
942.63; 21.253079; 124118.73871399
944.66; 21.125489; 124161.74838688
946.70; 21.013201; 124204.52944993
948.74; 20.925111; 124247.13117095
950.77; 20.862647; 124289.60571942
952.81; 20.820588; 124331.99463959
954.84; 20.789132; 124374.31951825
956.88; 20.756429; 124416.5778172
958.92; 20.711; 124458.74362554
960.95; 20.643709; 124500.77243575
962.99; 20.549213; 124542.60886012
965.02; 20.426864; 124584.19619164
967.06; 20.281028; 124625.48661437
969.09; 20.120694; 124666.45061166
971.13; 19.958239; 124707.08386393
973.17; 19.807365; 124747.4099506
975.20; 19.680477; 124787.47770378
977.24; 19.586009; 124827.35312744
979.27; 19.526384; 124867.1071594
981.31; 19.497208; 124906.80179301
983.35; 19.488034; 124946.47774829
