#Wavenumber (cm^-1); Spectrum (K*cm*km*mol^-1); Integral (K*km*mol^-1)
1235.80; 1.1078785; 102408.79517011
1237.84; 1.2299489; 102411.29923989
1239.87; 1.3661035; 102414.08050878
1241.91; 1.501942; 102417.13833311
1243.94; 1.6256694; 102420.44805573
1245.98; 1.7307055; 102423.9716227
1248.02; 1.8156693; 102427.66816875
1250.05; 1.8819195; 102431.4995945
1252.09; 1.9299718; 102435.42885059
1254.12; 1.9566848; 102439.41249188
1256.16; 1.9548077; 102443.39231168
1258.19; 1.9154214; 102447.29194436
1260.23; 1.8324191; 102451.02259148
1262.27; 1.7071059; 102454.49811168
1264.30; 1.550746; 102457.65529674
1266.34; 1.38363; 102460.47224811
1268.37; 1.2306808; 102462.97780807
1270.41; 1.1151507; 102465.2481586
1272.45; 1.0528818; 102467.39173511
1274.48; 1.0494599; 102469.52834482
1276.52; 1.1013887; 102471.77067707
1278.55; 1.2006455; 102474.21508768
1280.59; 1.3404096; 102476.94404586
1282.63; 1.5191165; 102480.03683595
1284.66; 1.7406233; 102483.58059471
1286.70; 2.0099643; 102487.6727085
1288.73; 2.3262512; 102492.40875517
1290.77; 2.675821; 102497.85649582
1292.81; 3.0290511; 102504.02338249
1294.84; 3.3431184; 102510.82968304
1296.88; 3.570765; 102518.09945251
1298.91; 3.672703; 102525.57675881
1300.95; 3.6296135; 102532.96633866
1302.98; 3.4494799; 102539.98918206
1305.02; 3.1673638; 102546.43766145
1307.06; 2.8372191; 102552.21399471
1309.09; 2.5180235; 102557.34047327
1311.13; 2.2584242; 102561.93843013
1313.16; 2.0845758; 102566.18244649
1315.20; 1.9947719; 102570.24362986
1317.24; 1.9622786; 102574.23865983
1319.27; 1.9452504; 102578.19902173
1321.31; 1.9005937; 102582.06846644
1323.34; 1.7977129; 102585.72845476
1325.38; 1.6283791; 102589.04369415
1327.42; 1.4102635; 102591.9148689
1329.45; 1.1834609; 102594.32429322
1331.49; 1.0010689; 102596.36238313
1333.52; 0.91617829; 102598.22764305
1335.56; 0.96829927; 102600.1990168
1337.60; 1.1722782; 102602.58567408
1339.63; 1.5122504; 102605.66448547
1341.67; 1.9422288; 102609.61869569
1343.70; 2.3936535; 102614.49196773
1345.74; 2.78877; 102620.16966282
1347.77; 3.0572882; 102626.39403767
1349.81; 3.1527358; 102632.81273576
1351.85; 3.0645987; 102639.0519943
1353.88; 2.8229824; 102644.79934285
1355.92; 2.4941313; 102649.87717901
1357.95; 2.1673654; 102654.28974797
1359.99; 1.9362562; 102658.23179841
1362.03; 1.8784808; 102662.05622326
1364.06; 2.0392371; 102666.20793393
1366.10; 2.422199; 102671.13932213
1368.13; 2.9900076; 102677.22671951
1370.17; 3.6738129; 102684.70628544
1372.21; 4.389159; 102693.6422344
1374.24; 5.0541213; 102703.93198908
1376.28; 5.6053754; 102715.34404956
1378.31; 6.0087332; 102727.57731182
1380.35; 6.2622807; 102740.32677485
1382.39; 6.3921539; 102753.34064851
1384.42; 6.4427598; 102766.45755151
1386.46; 6.4645593; 102779.61883631
1388.49; 6.503138; 102792.85866413
1390.53; 6.593014; 102806.28147156
1392.56; 6.7583569; 102820.04090297
1394.60; 7.020621; 102834.33428144
1396.64; 7.4104106; 102849.42123781
1398.67; 7.9785146; 102865.66480504
1400.71; 8.7999786; 102883.58080194
1402.74; 9.9662333; 102903.87119285
1404.78; 11.56393; 102927.41435617
1406.82; 13.644454; 102955.19328722
1408.85; 16.1933; 102988.16144804
1410.89; 19.111203; 103027.07020862
1412.92; 22.21726; 103072.30263326
1414.96; 25.277724; 103123.76589822
1417.00; 28.054515; 103180.88246907
1419.03; 30.358238; 103242.68922213
1421.07; 32.086021; 103308.01359104
1423.10; 33.227813; 103375.66255079
1425.14; 33.836253; 103444.55024146
1427.18; 33.971171; 103513.71261329
1429.21; 33.644031; 103582.20895666
1431.25; 32.792999; 103648.97267241
1433.28; 31.311489; 103712.72016241
1435.32; 29.132585; 103772.03159179
1437.36; 26.345148; 103825.66803965
1439.39; 23.295355; 103873.09537166
1441.43; 20.62063; 103915.07719506
1443.46; 19.177731; 103954.12140059
1445.50; 19.861263; 103994.55721801
1447.53; 23.352571; 104042.10103803
1449.57; 29.875483; 104102.92494392
1451.61; 39.048667; 104182.42465972
1453.64; 49.905242; 104284.02742495
1455.68; 61.10111; 104408.42401221
1457.71; 71.268855; 104553.52125109
1459.75; 79.416425; 104715.20623891
1461.79; 85.241568; 104888.75071436
1463.82; 89.247764; 105070.45145957
1465.86; 92.604122; 105258.98546058
1467.89; 96.773703; 105456.00836757
1469.93; 103.01491; 105665.73782958
1471.97; 111.91069; 105893.57833768
1474.00; 123.08127; 106144.16117181
1476.04; 135.18501; 106419.38617537
1478.07; 146.22439; 106717.08641806
1480.11; 154.07734; 107030.77458545
